ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,150000,1,3,2,55,-1,1,1,1,2,-1,26729,22008,44167,23023,40122,60855,12492,12757,16572,22747,8429,4774,0
2,50000,2,4,1,64,0,0,1,0,-1,-1,45668,14170,73296,2069,61653,66238,13285,44730,15415,19769,17612,31916,0
3,80000,1,4,1,38,0,0,0,1,3,-1,19282,76360,50120,63263,9486,57699,43212,31925,24438,36729,12518,43012,1
4,150000,2,2,2,67,-1,-1,-1,1,-1,3,26420,49034,15475,68265,51669,12557,24715,39989,10603,21963,21250,22133,0
5,30000,2,1,3,45,-1,1,-1,-1,-1,2,11163,10154,17773,74578,40109,46803,3403,42653,19538,6309,49330,22296,1
6,200000,1,4,3,66,0,0,-1,-1,0,-1,63879,74709,15464,0,70091,16642,32258,4116,23792,49656,44935,9687,0
7,80000,2,2,2,61,-1,3,0,1,0,0,29730,1833,78369,67715,64856,21172,30073,46123,9318,28337,44251,10797,0
8,80000,2,3,3,25,0,-1,-1,1,-1,0,38366,1218,77971,33914,10140,2046,13163,19556,19737,47354,46128,11826,0
9,150000,1,3,3,67,1,-1,-1,3,-1,-1,48641,60262,61815,40390,45533,24291,36628,2721,20728,497,5925,16711,0
10,20000,1,3,3,28,-1,-1,-1,-1,3,0,6235,54592,21109,12422,21972,34712,41384,26335,45924,40714,20595,4336,0
11,30000,1,3,2,43,-1,0,0,0,2,-1,61989,35884,33992,79810,9993,49183,23298,4213,1912,38327,6455,39597,0
12,150000,1,2,1,23,-1,-1,3,1,-1,0,4131,66674,78501,67041,40734,57849,35078,13170,36771,17270,28461,36433,0
13,30000,2,1,1,64,-1,1,2,0,0,-1,79328,72622,1944,23563,57729,65900,23060,39615,48508,35456,43226,42058,1
14,30000,1,2,1,57,3,2,1,1,-1,0,1404,6864,55963,54915,78630,67531,27428,18044,16262,24387,30683,31386,0
15,200000,1,1,1,51,-1,-1,1,-1,0,-1,42679,18400,29292,77393,28631,32274,413,14343,47902,19245,39321,8015,1
16,80000,1,3,1,49,0,-1,0,-1,-1,0,10769,37580,74253,77761,64923,50693,40886,35292,4069,34993,14411,13937,0
17,50000,1,4,3,61,1,2,-1,-1,-1,1,10661,70204,62104,76217,48476,44313,9272,4781,23701,35615,26878,23216,0
18,200000,1,4,3,40,-1,-1,-1,-1,0,0,65673,5017,20190,76756,45281,14317,44717,16939,7166,3844,49774,39473,1
